no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
520,26,0.8634335031440746,45,13,supertrend,0,0,0,1,400,400,50,0.1,10,0,13483,-16572.0,0.513313060891493
521,82,2.4320160458720887,74,34,supertrend,0,0,0,1,300,50,250,0.1,10,0,3830,-18233.0,0.49921671018276764
522,63,2.3561384109697276,52,46,supertrend,0,0,0,1,300,300,100,0.1,10,0,3657,-16925.0,0.5181843040743779
523,23,0.8732860689228633,61,26,supertrend,0,0,0,1,300,200,150,0.1,10,0,10222,-21408.0,0.5275875562512229
524,38,0.5851018798882907,33,45,supertrend,0,0,0,1,250,200,100,0.1,10,0,8603,6350.0,0.5487620597466
525,22,1.4581775986991752,28,43,supertrend,0,0,0,1,450,50,50,0.1,10,0,5900,354.0,0.511864406779661
526,80,3.4165270170195945,96,6,supertrend,0,0,0,1,300,250,150,0.1,10,0,2063,-7051.0,0.37178865729520116
527,68,0.8240699013196652,18,12,supertrend,0,0,0,1,100,150,50,0.1,10,0,14095,-13383.0,0.46605179141539554
528,20,2.785516173517956,59,26,supertrend,0,0,0,1,350,250,200,0.1,10,0,3320,1224.0,0.4990963855421687
529,32,3.307418829353157,95,11,supertrend,0,0,0,1,200,350,150,0.1,10,0,2154,-7150.0,0.3755803156917363
530,90,3.3507199850358056,37,4,supertrend,0,0,0,1,150,150,250,0.1,10,0,2163,14861.0,0.382339343504392
531,94,1.146313151424329,23,34,supertrend,0,0,0,1,50,50,200,0.1,10,0,7374,2430.0,0.3801193382153512
532,68,3.321216054478064,77,40,supertrend,0,0,0,1,300,100,250,0.1,10,0,2518,-5010.0,0.49761715647339155
533,66,0.5051101252984987,75,48,supertrend,0,0,0,1,200,250,50,0.1,10,0,8680,-2085.0,0.5389400921658987
534,13,2.215884911520604,99,6,supertrend,0,0,0,1,400,50,150,0.1,10,0,3477,3959.0,0.46937014667817084
535,61,1.9900632803272973,63,11,supertrend,0,0,0,1,50,150,250,0.1,10,0,4894,11108.0,0.2801389456477319
536,19,2.1077753981596214,78,10,supertrend,0,0,0,1,100,150,100,0.1,10,0,4340,-2788.0,0.3686635944700461
537,48,0.9957346690684711,69,50,supertrend,0,0,0,1,450,100,150,0.1,10,0,6500,-4273.0,0.5284615384615384
538,27,2.362017343281886,40,17,supertrend,0,0,0,1,150,400,250,0.1,10,0,4052,3267.0,0.4230009871668312
539,68,3.1969436688412625,75,33,supertrend,0,0,0,1,350,350,250,0.1,10,0,2638,637.0,0.48332069749810463
540,74,2.2299767895370617,61,9,supertrend,0,0,0,1,100,100,100,0.1,10,0,3981,9370.0,0.4031650339110776
541,29,1.8553048801083385,14,43,supertrend,0,0,0,1,300,300,100,0.1,10,0,4812,-30938.0,0.5193266832917706
542,35,0.7016113477054218,76,19,supertrend,0,0,0,1,250,400,200,0.1,10,0,13329,-12940.0,0.5233700952809663
543,45,2.0986459725794293,59,50,supertrend,0,0,0,1,300,400,50,0.1,10,0,4002,-24154.0,0.5187406296851574
544,75,1.7033129949992314,38,25,supertrend,0,0,0,1,350,200,50,0.1,10,0,6048,-2915.0,0.5120701058201058
545,77,2.7649507583191424,29,4,supertrend,0,0,0,1,300,500,100,0.1,10,0,2721,14752.0,0.3711870635795663
546,86,3.2172614025845125,44,37,supertrend,0,0,0,1,500,350,250,0.1,10,0,2602,5723.0,0.51076095311299
547,52,2.363162816958725,58,15,supertrend,0,0,0,1,50,400,250,0.1,10,0,3973,14674.0,0.26453561540397685
548,65,2.8161037745316975,19,41,supertrend,0,0,0,1,300,200,200,0.1,10,0,3110,-16733.0,0.5073954983922829
549,45,1.75423026611353,44,47,supertrend,0,0,0,1,350,300,200,0.1,10,0,4768,-21837.0,0.5299916107382551
550,31,2.9386903939458007,86,39,supertrend,0,0,0,1,500,150,50,0.1,10,0,3045,-1077.0,0.5188834154351396
551,48,1.2653420345113113,38,7,supertrend,0,0,0,1,400,200,200,0.1,10,0,8736,22470.0,0.44551282051282054
552,65,0.6645077874497912,13,17,supertrend,0,0,0,1,350,200,250,0.1,10,0,14347,-17729.0,0.5249878023280128
553,50,0.6869359335997298,78,16,supertrend,0,0,0,1,350,350,200,0.1,10,0,14511,-18998.0,0.5205706016125697
554,17,1.7023452492988413,35,34,supertrend,0,0,0,1,300,200,100,0.1,10,0,5808,-11684.0,0.5237603305785123
555,23,1.0805778559515284,90,34,supertrend,0,0,0,1,400,300,150,0.1,10,0,7890,-10617.0,0.5318124207858048
556,15,0.6997632836140201,69,10,supertrend,0,0,0,1,450,150,200,0.1,10,0,17491,-11574.0,0.5108341432736836
557,75,2.2985523006331032,50,28,supertrend,0,0,0,1,100,50,200,0.1,10,0,4160,-4715.0,0.44375
558,79,1.5965456583999247,66,45,supertrend,0,0,0,1,400,350,100,0.1,10,0,5174,-26595.0,0.5243525318902204
559,82,2.294589963922355,86,28,supertrend,0,0,0,1,450,300,250,0.1,10,0,4164,5304.0,0.5177713736791547
560,78,2.9360323651577804,27,50,supertrend,0,0,0,1,450,200,200,0.1,10,0,2828,-4441.0,0.521923620933522
561,57,0.6422316105861273,40,43,supertrend,0,0,0,1,200,50,150,0.1,10,0,8492,-1413.0,0.5155440414507773
562,59,0.963417611055776,74,11,supertrend,0,0,0,1,100,300,200,0.1,10,0,12483,-7515.0,0.45293599295041254
563,43,1.8466596837568447,57,50,supertrend,0,0,0,1,100,100,50,0.1,10,0,4470,-10655.0,0.4306487695749441
564,40,1.2132501883458198,54,10,supertrend,0,0,0,1,500,400,200,0.1,10,0,9769,989.0,0.47579076671102466
565,36,1.9447295594374738,46,45,supertrend,0,0,0,1,350,300,50,0.1,10,0,4496,-32331.0,0.5264679715302492
566,89,2.3024023741961974,46,26,supertrend,0,0,0,1,150,50,200,0.1,10,0,4184,-4514.0,0.47848948374760997
567,26,0.6417133797052678,63,42,supertrend,0,0,0,1,450,500,50,0.1,10,0,8720,-13130.0,0.5479357798165138
568,97,2.3647026181516755,50,43,supertrend,0,0,0,1,150,200,250,0.1,10,0,3651,346.0,0.45631333881128455
569,64,3.387963101491067,31,15,supertrend,0,0,0,1,150,300,250,0.1,10,0,2175,627.0,0.36137931034482756
570,78,1.843167821317282,78,15,supertrend,0,0,0,1,500,400,250,0.1,10,0,5778,-1893.0,0.4775008653513326
571,25,3.073104904816871,85,23,supertrend,0,0,0,1,150,400,100,0.1,10,0,2768,-12060.0,0.38945086705202314
572,37,2.984459372196445,66,30,supertrend,0,0,0,1,150,500,250,0.1,10,0,2993,-4293.0,0.41363180755095225
573,72,3.2645294510057505,38,38,supertrend,0,0,0,1,300,50,150,0.1,10,0,2560,1245.0,0.51015625
574,76,2.1022237537315447,74,24,supertrend,0,0,0,1,200,200,150,0.1,10,0,4756,6154.0,0.49726661059714045
575,22,0.7503648824022077,85,17,supertrend,0,0,0,1,400,450,150,0.1,10,0,13625,-13290.0,0.523302752293578
576,11,1.7417549607343417,34,5,supertrend,0,0,0,1,300,500,150,0.1,10,0,4672,368.0,0.3790667808219178
