no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
1248,62,2.551139466174931,81,5,supertrend,0,0,0,1,350,450,200,0.1,10,0,290,1583.0,0.3689655172413793
1249,32,2.4535564137602464,28,36,supertrend,0,0,0,1,400,400,200,0.1,10,0,375,-3320.0,0.49066666666666664
1250,25,1.690472010117496,37,24,supertrend,0,0,0,1,250,300,250,0.1,10,0,611,-599.0,0.4877250409165303
1251,95,3.1212081829444234,92,41,supertrend,0,0,0,1,350,100,250,0.1,10,0,266,-2129.0,0.4548872180451128
1252,60,2.7850566966864267,44,27,supertrend,0,0,0,1,150,200,50,0.1,10,0,316,5901.0,0.4430379746835443
1253,83,1.0686812299419044,40,9,supertrend,0,0,0,1,100,500,100,0.1,10,0,1099,-870.0,0.4012738853503185
1254,82,1.9926377045070147,76,22,supertrend,0,0,0,1,500,400,100,0.1,10,0,515,-1707.0,0.47184466019417476
1255,66,2.0743598458803474,90,9,supertrend,0,0,0,1,50,300,100,0.1,10,0,426,-1685.0,0.22535211267605634
1256,43,0.8044951696316994,50,13,supertrend,0,0,0,1,350,450,150,0.1,10,0,1371,3868.0,0.5171407731582787
1257,54,3.489305608338389,37,33,supertrend,0,0,0,1,50,300,250,0.1,10,0,216,2603.0,0.25462962962962965
1258,34,3.0960598869036025,18,45,supertrend,0,0,0,1,200,300,150,0.1,10,0,273,-4150.0,0.4358974358974359
1259,75,3.4587322703996257,82,26,supertrend,0,0,0,1,300,450,150,0.1,10,0,208,2335.0,0.4182692307692308
1260,84,1.5557402376995242,96,38,supertrend,0,0,0,1,350,150,100,0.1,10,0,565,-15.0,0.511504424778761
1261,36,3.2721865765867615,25,42,supertrend,0,0,0,1,450,50,100,0.1,10,0,249,-3845.0,0.5220883534136547
1262,97,2.556017633323747,65,33,supertrend,0,0,0,1,450,50,150,0.1,10,0,333,-3629.0,0.4924924924924925
1263,50,1.1228650934171829,19,42,supertrend,0,0,0,1,200,400,50,0.1,10,0,670,2858.0,0.49701492537313435
1264,82,3.256300456090971,50,23,supertrend,0,0,0,1,300,150,150,0.1,10,0,230,-910.0,0.43043478260869567
1265,11,2.7290887978251517,15,37,supertrend,0,0,0,1,300,400,150,0.1,10,0,333,-1553.0,0.5165165165165165
1266,79,0.5035036344494214,53,6,supertrend,0,0,0,1,500,100,200,0.1,10,0,2319,12294.0,0.4933160845191893
1267,70,1.4906552410080618,31,34,supertrend,0,0,0,1,500,100,150,0.1,10,0,611,1471.0,0.5253682487725041
1268,48,3.0364217917617107,24,12,supertrend,0,0,0,1,350,400,200,0.1,10,0,244,1031.0,0.4180327868852459
1269,66,2.7684847491319715,58,35,supertrend,0,0,0,1,50,150,50,0.1,10,0,313,-348.0,0.24281150159744408
1270,57,2.236328880253668,93,36,supertrend,0,0,0,1,300,200,150,0.1,10,0,399,-3935.0,0.47117794486215536
1271,86,2.0035013308125316,50,46,supertrend,0,0,0,1,500,100,150,0.1,10,0,405,-1757.0,0.4962962962962963
1272,59,0.5871529826721896,16,17,supertrend,0,0,0,1,450,350,200,0.1,10,0,1501,1987.0,0.5522984676882079
1273,86,2.588352051661158,28,25,supertrend,0,0,0,1,400,500,50,0.1,10,0,339,5249.0,0.49852507374631266
