no,p1.n_bo,p1.window,p1.term_max,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
114,2,24,96,supertrend,0,0,0,1,50,350,200,0.1,10,0,584,-11526.0,0.07534246575342465,-11301.0,538 days 13:45:00
115,2,24,96,supertrend,0,0,0,1,450,100,150,0.1,10,0,584,-33012.0,0.3698630136986301,-35815.4,82 days 04:00:00
116,2,24,96,supertrend,0,0,0,1,200,500,100,0.1,10,0,584,-52203.0,0.16095890410958905,-54687.0,88 days 00:30:00
117,2,24,96,supertrend,0,0,0,1,100,300,200,0.1,10,0,584,-26737.0,0.13013698630136986,-26287.0,112 days 14:15:00
118,2,24,96,supertrend,0,0,0,1,350,350,150,0.1,10,0,539,-90398.0,0.22448979591836735,-94436.6,47 days 09:00:00
119,2,24,96,supertrend,0,0,0,1,250,200,150,0.1,10,0,584,-60739.0,0.25,-64603.5,47 days 01:45:00
120,2,24,96,supertrend,0,0,0,1,150,250,250,0.1,10,0,584,-39458.0,0.1797945205479452,-42167.0,35 days 23:30:00
121,2,24,96,supertrend,0,0,0,1,450,150,200,0.1,10,0,584,-47689.0,0.3287671232876712,-50163.4,65 days 21:00:00
122,2,24,96,supertrend,0,0,0,1,150,250,200,0.1,10,0,584,-39458.0,0.1797945205479452,-42167.0,35 days 23:30:00
123,2,24,96,supertrend,0,0,0,1,250,50,150,0.1,10,0,584,-23762.0,0.3681506849315068,-23446.7,78 days 23:00:00
